Offence,Year,Number,Rate,State
Weapons/explosives,2019,476,78.2,Victoria
Property damage and environmental pollution,2019,527,86.6,Victoria
Public order offences,2019,561,92.2,Victoria
Offences against justice,2019,93,15.3,Victoria
Miscellaneous offences,2019,584,95.9,Victoria
Acts intended to cause injury,2020,1708,277.2,Victoria
Sexual assault and related offences,2020,169,27.4,Victoria
Dangerous/negligent acts,2020,44,7.1,Victoria
Abduction/harassment,2020,135,21.9,Victoria
Robbery/extortion,2020,243,39.4,Victoria
Unlawful entry with intent,2020,296,48.0,Victoria
Theft,2020,768,124.7,Victoria
Fare evasion,2020,245,39.8,Victoria
Fraud/deception,2020,132,21.4,Victoria
Illicit drug offences,2020,382,62.0,Victoria
Weapons/explosives,2020,355,57.6,Victoria
Property damage and environmental pollution,2020,535,86.8,Victoria
Public order offences,2020,521,84.6,Victoria
Offences against justice,2020,77,12.5,Victoria
Miscellaneous offences,2020,891,144.6,Victoria
Acts intended to cause injury,2021,1909,306.0,Victoria
Sexual assault and related offences,2021,151,24.2,Victoria
Dangerous/negligent acts,2021,71,11.4,Victoria
Abduction/harassment,2021,147,23.6,Victoria
Robbery/extortion,2021,249,39.9,Victoria
Unlawful entry with intent,2021,343,55.0,Victoria
Theft,2021,933,149.6,Victoria
Fare evasion,2021,221,35.4,Victoria
Fraud/deception,2021,101,16.2,Victoria
Illicit drug offences,2021,325,52.1,Victoria
Weapons/explosives,2021,436,69.9,Victoria
Property damage and environmental pollution,2021,663,106.3,Victoria
Public order offences,2021,486,77.9,Victoria
Offences against justice,2021,99,15.9,Victoria
Miscellaneous offences,2021,888,142.3,Victoria
Acts intended to cause injury,2022,2341,365.8,Victoria
Sexual assault and related offences,2022,179,28.0,Victoria
Dangerous/negligent acts,2022,35,5.5,Victoria
Abduction/harassment,2022,169,26.4,Victoria
Robbery/extortion,2022,465,72.7,Victoria
Unlawful entry with intent,2022,414,64.7,Victoria
Theft,2022,1304,203.8,Victoria
Fare evasion,2022,508,79.4,Victoria
Fraud/deception,2022,165,25.8,Victoria
Illicit drug offences,2022,289,45.2,Victoria
Weapons/explosives,2022,456,71.3,Victoria
Property damage and environmental pollution,2022,725,113.3,Victoria
Public order offences,2022,530,82.8,Victoria
Offences against justice,2022,107,16.7,Victoria
Miscellaneous offences,2022,471,73.6,Victoria
Acts intended to cause injury,2023,2466,375.7,Victoria
Sexual assault and related offences,2023,213,32.5,Victoria
Dangerous/negligent acts,2023,72,11.0,Victoria
Abduction/harassment,2023,93,14.2,Victoria
Robbery/extortion,2023,473,72.1,Victoria
Unlawful entry with intent,2023,406,61.9,Victoria
Theft,2023,1148,174.9,Victoria
Fare evasion,2023,527,80.3,Victoria
Fraud/deception,2023,162,24.7,Victoria
Illicit drug offences,2023,315,48.0,Victoria
Weapons/explosives,2023,480,73.1,Victoria
Property damage and environmental pollution,2023,683,104.1,Victoria
Public order offences,2023,576,87.8,Victoria
Offences against justice,2023,82,12.5,Victoria
Miscellaneous offences,2023,443,67.5,Victoria
Acts intended to cause injury,2024,2371,355.2,Victoria
Sexual assault and related offences,2024,189,28.3,Victoria
Dangerous/negligent acts,2024,51,7.6,Victoria
Abduction/harassment,2024,108,16.2,Victoria
Robbery/extortion,2024,470,70.4,Victoria
Unlawful entry with intent,2024,324,48.5,Victoria
Theft,2024,1242,186.0,Victoria
Fare evasion,2024,383,57.4,Victoria
Fraud/deception,2024,185,27.7,Victoria
Illicit drug offences,2024,249,37.3,Victoria
Weapons/explosives,2024,557,83.4,Victoria
Property damage and environmental pollution,2024,631,94.5,Victoria
Public order offences,2024,505,75.6,Victoria
Offences against justice,2024,95,14.2,Victoria
Miscellaneous offences,2024,266,39.8,Victoria
Acts intended to cause injury,2008,2221,475.3,Queensland
Sexual assault and related offences,2008,483,103.4,Queensland
Dangerous/negligent acts,2008,137,29.3,Queensland
Abduction/harassment,2008,3,0.6,Queensland
Robbery/extortion,2008,262,56.1,Queensland
Unlawful entry with intent,2008,2025,433.4,Queensland
Theft,2008,4989,1067.7,Queensland
Fraud/deception,2008,156,33.4,Queensland
Illicit drug offences,2008,1324,283.3,Queensland
Weapons/explosives,2008,338,72.3,Queensland
Property damage and environmental pollution,2008,1501,321.2,Queensland
Public order offences,2008,2096,448.6,Queensland
Offences against justice,2008,423,90.5,Queensland
Miscellaneous offences,2008,0,0.0,Queensland
Acts intended to cause injury,2009,2284,485.9,Queensland
Sexual assault and related offences,2009,485,103.2,Queensland
Dangerous/negligent acts,2009,179,38.1,Queensland
