Offence,Year,Number,Rate,State,Sex
Fraud/deception,2017,1287.0,36.9,New South Wales,Female
Illicit drug offences,2017,3499.0,100.2,New South Wales,Female
Weapons/explosives,2017,229.0,6.6,New South Wales,Female
Property damage and environmental pollution,2017,929.0,26.6,New South Wales,Female
Public order offences,2017,3091.0,88.5,New South Wales,Female
Offences against justice,2017,1129.0,32.3,New South Wales,Female
Miscellaneous offences,2017,572.0,16.4,New South Wales,Female
Homicide and related offences,2018,34.0,1.0,New South Wales,Female
Acts intended to cause injury,2018,7222.0,204.0,New South Wales,Female
Sexual assault and related offences,2018,108.0,3.1,New South Wales,Female
Dangerous/negligent acts,2018,31.0,0.9,New South Wales,Female
Abduction/harassment,2018,182.0,5.1,New South Wales,Female
Robbery/extortion,2018,115.0,3.2,New South Wales,Female
Unlawful entry with intent,2018,317.0,9.0,New South Wales,Female
Theft,2018,4389.0,124.0,New South Wales,Female
Fare evasion,2018,5385.0,152.1,New South Wales,Female
Fraud/deception,2018,1371.0,38.7,New South Wales,Female
Illicit drug offences,2018,3518.0,99.4,New South Wales,Female
Weapons/explosives,2018,273.0,7.7,New South Wales,Female
Property damage and environmental pollution,2018,903.0,25.5,New South Wales,Female
Public order offences,2018,2706.0,76.4,New South Wales,Female
Offences against justice,2018,1230.0,34.7,New South Wales,Female
Miscellaneous offences,2018,573.0,16.2,New South Wales,Female
Homicide and related offences,2019,62.0,1.7,New South Wales,Female
Acts intended to cause injury,2019,7361.0,205.4,New South Wales,Female
Sexual assault and related offences,2019,125.0,3.5,New South Wales,Female
Dangerous/negligent acts,2019,33.0,0.9,New South Wales,Female
Abduction/harassment,2019,206.0,5.7,New South Wales,Female
Robbery/extortion,2019,153.0,4.3,New South Wales,Female
Unlawful entry with intent,2019,333.0,9.3,New South Wales,Female
Theft,2019,4071.0,113.6,New South Wales,Female
Fare evasion,2019,4779.0,133.3,New South Wales,Female
Fraud/deception,2019,1360.0,37.9,New South Wales,Female
Illicit drug offences,2019,3316.0,92.5,New South Wales,Female
Weapons/explosives,2019,318.0,8.9,New South Wales,Female
Property damage and environmental pollution,2019,926.0,25.8,New South Wales,Female
Public order offences,2019,2447.0,68.3,New South Wales,Female
Offences against justice,2019,1295.0,36.1,New South Wales,Female
Miscellaneous offences,2019,704.0,19.6,New South Wales,Female
Homicide and related offences,2020,30.0,0.8,New South Wales,Female
Acts intended to cause injury,2020,8157.0,227.0,New South Wales,Female
Sexual assault and related offences,2020,152.0,4.2,New South Wales,Female
Dangerous/negligent acts,2020,31.0,0.9,New South Wales,Female
Abduction/harassment,2020,219.0,6.1,New South Wales,Female
Robbery/extortion,2020,121.0,3.4,New South Wales,Female
Unlawful entry with intent,2020,311.0,8.7,New South Wales,Female
Theft,2020,3609.0,100.4,New South Wales,Female
Fare evasion,2020,4263.0,118.6,New South Wales,Female
Fraud/deception,2020,1072.0,29.8,New South Wales,Female
Illicit drug offences,2020,2819.0,78.5,New South Wales,Female
Weapons/explosives,2020,283.0,7.9,New South Wales,Female
Property damage and environmental pollution,2020,951.0,26.5,New South Wales,Female
